New Text Document_nouns.csv
Unique nouns: 122,Total nouns: 189
Total time: 1.657 sec,Cost per noun: 8.765 ms
the autopilot,"['When Auto Throttle is engaged, the autopilot has command of the throttles, and will govern the airspeed according to the value indicated by the IAS / MACH Display.', 'C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.', 'When Heading\\x02Select mode is engaged, the autopilot will steer the aircraft according to the value displayed here.', 'The autopilot will follow the lateral components of your flight plan.', 'When Altitude Hold is engaged, the autopilot will immediately level-off, and the level-off altitude will be displayed here.', 'When Vertical Speed mode is engaged, the autopilot will ascend, or descend at the desired rate, until reaching the altitude displayed here, at which point it will level-off.', 'Vertical Speed Display and RotaryWhen VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of ascent, or descent, according to this value.', 'A/P ENGAGEThe CMD buttons are used to engage the autopilot, noting there are two separate and identical systems - A, and B. Note that, after engaging the autopilot, the desired mode must still be selected subsequently.', 'The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.', 'Autopilot Disengage Click this button to disengage the autopilot and return full manual control to the flight crew.', 'Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.', 'The autopilot will level-off and hold the current altitude.', 'The autopilot will steer the aircraft laterally to intercept and track the VOR radial, or ILS localizer that is selected via the active Nav radio.', 'The autopilot will steer according to the Heading Display / EHSI heading bug.', 'Used in conjunction with the auto-throttle, the autopilot will maintain the current airspeed while ascending, or descending to the selected altitude.', 'Used in conjunction with the auto\\x02throttle, the autopilot will maintain airspeed according to the IAS / MACH Display.']",17
command,"['When Auto Throttle is engaged, the autopilot has command of the throttles, and will govern the airspeed according to the value indicated by the IAS / MACH Display.']",1
the throttle,"['When Auto Throttle is engaged, the autopilot has command of the throttles, and will govern the airspeed according to the value indicated by the IAS / MACH Display.']",1
the airspeed,"['When Auto Throttle is engaged, the autopilot has command of the throttles, and will govern the airspeed according to the value indicated by the IAS / MACH Display.']",1
the value,"['When Auto Throttle is engaged, the autopilot has command of the throttles, and will govern the airspeed according to the value indicated by the IAS / MACH Display.', 'When Heading\\x02Select mode is engaged, the autopilot will steer the aircraft according to the value displayed here.', 'Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.']",3
the ias/mach display,"['When Auto Throttle is engaged, the autopilot has command of the throttles, and will govern the airspeed according to the value indicated by the IAS / MACH Display.', 'Used in conjunction with the auto\\x02throttle, the autopilot will maintain airspeed according to the IAS / MACH Display.']",2
the ias/mach display unit,"['C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.']",1
knot,"['C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.']",1
displayand rotarywhen,"['C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.']",1
the speed button,"['C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.']",1
auto-throttle,"['C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.']",1
the speed,"['C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.']",1
this value,"['C/O Toggle Toggles the IAS / MACH display units between Knots and Mach-numberIAS / MACH Displayand RotaryWhen used in conjunction with the Speed Button, and Auto-Throttle, the autopilot will govern the speed according to this value.', 'Vertical Speed Display and RotaryWhen VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of ascent, or descent, according to this value.']",2
vnav button vnav,['VNAV Button VNAV (Vertical Navigation).'],1
vertical navigation,['VNAV Button VNAV (Vertical Navigation).'],1
the autopilot/autothrottle,['The autopilot / autothrottle will follow the vertical components of your flight plan.'],1
the vertical component,['The autopilot / autothrottle will follow the vertical components of your flight plan.'],1
your flight plan,"['The autopilot / autothrottle will follow the vertical components of your flight plan.', 'The autopilot will follow the lateral components of your flight plan.']",2
rotarythis display,['Heading Display and RotaryThis display is used in conjunction with the HEADING Rotary.'],1
the heading rotary,['Heading Display and RotaryThis display is used in conjunction with the HEADING Rotary.'],1
heading\x02select mode,"['When Heading\\x02Select mode is engaged, the autopilot will steer the aircraft according to the value displayed here.']",1
the aircraft,"['When Heading\\x02Select mode is engaged, the autopilot will steer the aircraft according to the value displayed here.', ""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", 'The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and bank command bars.', 'The autopilot will steer the aircraft laterally to intercept and track the VOR radial, or ILS localizer that is selected via the active Nav radio.', ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", 'The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and']",6
the rotary control outer ring,['Use the Rotary Control outer ring to adjust the bank angle / rate of turn.'],1
the bank angle/rate,['Use the Rotary Control outer ring to adjust the bank angle / rate of turn.'],1
turn,['Use the Rotary Control outer ring to adjust the bank angle / rate of turn.'],1
the rotary control inner ring,['Use the Rotary Control inner ring to adjust the heading.'],1
the heading,['Use the Rotary Control inner ring to adjust the heading.'],1
lnav button lnav,['LNAV Button LNAV (Lateral Navigation).'],1
lateral navigation,['LNAV Button LNAV (Lateral Navigation).'],1
the lateral component,['The autopilot will follow the lateral components of your flight plan.'],1
altitude display,['Altitude Display and RotaryUsed in conjunction with the Altitude Hold Button and Vertical Speed Button.'],1
the altitude,"['Altitude Display and RotaryUsed in conjunction with the Altitude Hold Button and Vertical Speed Button.', 'When Vertical Speed mode is engaged, the autopilot will ascend, or descend at the desired rate, until reaching the altitude displayed here, at which point it will level-off.']",2
button,"['Altitude Display and RotaryUsed in conjunction with the Altitude Hold Button and Vertical Speed Button.', 'ALT Hold Button Click this button to engage Altitude Hold Mode.']",2
vertical speed button,['Altitude Display and RotaryUsed in conjunction with the Altitude Hold Button and Vertical Speed Button.'],1
altitude hold,"['When Altitude Hold is engaged, the autopilot will immediately level-off, and the level-off altitude will be displayed here.']",1
the level-off altitude,"['When Altitude Hold is engaged, the autopilot will immediately level-off, and the level-off altitude will be displayed here.']",1
vertical speed mode,"['When Vertical Speed mode is engaged, the autopilot will ascend, or descend at the desired rate, until reaching the altitude displayed here, at which point it will level-off.', 'this button to engage Vertical Speed Mode.', 'LVL CHG ButtonClick this button to engage Vertical Speed Mode.']",3
the desire rate,"['When Vertical Speed mode is engaged, the autopilot will ascend, or descend at the desired rate, until reaching the altitude displayed here, at which point it will level-off.']",1
which point,"['When Vertical Speed mode is engaged, the autopilot will ascend, or descend at the desired rate, until reaching the altitude displayed here, at which point it will level-off.']",1
it,"['When Vertical Speed mode is engaged, the autopilot will ascend, or descend at the desired rate, until reaching the altitude displayed here, at which point it will level-off.', 'The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.']",2
vertical speed display,"['Vertical Speed Display and RotaryWhen VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of ascent, or descent, according to this value.']",1
vs vertical speed ) mode,"['Vertical Speed Display and RotaryWhen VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of ascent, or descent, according to this value.']",1
the rate,"['Vertical Speed Display and RotaryWhen VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of ascent, or descent, according to this value.', 'Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.']",2
ascent,"['Vertical Speed Display and RotaryWhen VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of ascent, or descent, according to this value.', 'Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.']",2
descent,"['Vertical Speed Display and RotaryWhen VS (Vertical Speed) Mode is engaged, the autopilot will govern the rate of ascent, or descent, according to this value.', 'Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.']",2
a/p,"['A/P ENGAGEThe CMD buttons are used to engage the autopilot, noting there are two separate and identical systems - A, and B. Note that, after engaging the autopilot, the desired mode must still be selected subsequently.']",1
engagethe cmd button,"['A/P ENGAGEThe CMD buttons are used to engage the autopilot, noting there are two separate and identical systems - A, and B. Note that, after engaging the autopilot, the desired mode must still be selected subsequently.']",1
two separate and identical system,"['A/P ENGAGEThe CMD buttons are used to engage the autopilot, noting there are two separate and identical systems - A, and B. Note that, after engaging the autopilot, the desired mode must still be selected subsequently.']",1
b.,"['A/P ENGAGEThe CMD buttons are used to engage the autopilot, noting there are two separate and identical systems - A, and B. Note that, after engaging the autopilot, the desired mode must still be selected subsequently.']",1
the desire mode,"['A/P ENGAGEThe CMD buttons are used to engage the autopilot, noting there are two separate and identical systems - A, and B. Note that, after engaging the autopilot, the desired mode must still be selected subsequently.']",1
system,['Systems A and B are normally engaged exclusively.'],1
b,"['Systems A and B are normally engaged exclusively.', ""CMD / A - Engages Autopilot ACMD / B - Engages Autopilot BCWS / A - Engages Autopilot A in Control Wheel Steering modeCWS / B - Engages Autopilot B in Control Wheel Steering modeRight Course Display and RotaryUsed to select the desired VOR radial for the first-officer's EHSI.""]",2
auto-land ' mode,"[""However, when in 'auto-land' mode, both are typically engaged together, to provide redundancy in case of failure.""]",1
redundancy,"[""However, when in 'auto-land' mode, both are typically engaged together, to provide redundancy in case of failure.""]",1
case,"[""However, when in 'auto-land' mode, both are typically engaged together, to provide redundancy in case of failure.""]",1
failure,"[""However, when in 'auto-land' mode, both are typically engaged together, to provide redundancy in case of failure.""]",1
the cw button,"['The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.']",1
control wheel steering mode,"['The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.']",1
the pilot,"['The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.']",1
input,"['The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.']",1
the control wheel,"['The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.']",1
the result attitude,"['The CWS buttons are used to engage Control Wheel Steering mode, whereby the autopilot will allow the pilot to make inputs using the control wheel, after which it will hold the resulting attitude.']",1
a-engages,"[""CMD / A - Engages Autopilot ACMD / B - Engages Autopilot BCWS / A - Engages Autopilot A in Control Wheel Steering modeCWS / B - Engages Autopilot B in Control Wheel Steering modeRight Course Display and RotaryUsed to select the desired VOR radial for the first-officer's EHSI.""]",1
b-engages,"[""CMD / A - Engages Autopilot ACMD / B - Engages Autopilot BCWS / A - Engages Autopilot A in Control Wheel Steering modeCWS / B - Engages Autopilot B in Control Wheel Steering modeRight Course Display and RotaryUsed to select the desired VOR radial for the first-officer's EHSI.""]",1
a-engages autopilot,"[""CMD / A - Engages Autopilot ACMD / B - Engages Autopilot BCWS / A - Engages Autopilot A in Control Wheel Steering modeCWS / B - Engages Autopilot B in Control Wheel Steering modeRight Course Display and RotaryUsed to select the desired VOR radial for the first-officer's EHSI.""]",1
control wheel steering modecw,"[""CMD / A - Engages Autopilot ACMD / B - Engages Autopilot BCWS / A - Engages Autopilot A in Control Wheel Steering modeCWS / B - Engages Autopilot B in Control Wheel Steering modeRight Course Display and RotaryUsed to select the desired VOR radial for the first-officer's EHSI.""]",1
engage autopilot,"[""CMD / A - Engages Autopilot ACMD / B - Engages Autopilot BCWS / A - Engages Autopilot A in Control Wheel Steering modeCWS / B - Engages Autopilot B in Control Wheel Steering modeRight Course Display and RotaryUsed to select the desired VOR radial for the first-officer's EHSI.""]",1
the first-officer's ehsi,"[""CMD / A - Engages Autopilot ACMD / B - Engages Autopilot BCWS / A - Engages Autopilot A in Control Wheel Steering modeCWS / B - Engages Autopilot B in Control Wheel Steering modeRight Course Display and RotaryUsed to select the desired VOR radial for the first-officer's EHSI.""]",1
the first-officer's ehsi control panel,"[""This works in conjunction with the VOR selected using the first-officer's EHSI Control Panel.""]",1
first-officer'sflight director,"[""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",1
the ' flight director ' display,"[""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",2
the first-officer's eadi.the flight director compute,"[""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",2
the proper pitch,"[""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",2
bank,"[""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",2
the desire flight plan,"[""First-officer'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan."", ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",2
the flight-crew,"['The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and bank command bars.', 'The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and']",2
the flight plan,"['The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and bank command bars.', 'The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and']",2
the attitude indicator,"['The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and bank command bars.', 'The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and']",2
the flight director pitch,"['The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and bank command bars.', 'The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and']",2
bank command bar,"['The flight-crew can manually fly the aircraft according to the flight plan - by aligning the attitude indicator with the Flight Director pitch and bank command bars.', 'bank command bars']",2
autopilot disengage,['Autopilot Disengage Click this button to disengage the autopilot and return full manual control to the flight crew.'],1
this button,"['Autopilot Disengage Click this button to disengage the autopilot and return full manual control to the flight crew.', 'this button to engage Vertical Speed Mode.', 'ALT Hold Button Click this button to engage Altitude Hold Mode.', 'VOR / LOC ButtonClick this button to engage VOR or Localizer Mode.', 'HDG Select Button Click this button to engage Heading Mode.', 'LVL CHG ButtonClick this button to engage Vertical Speed Mode.', 'Speed Button Click this button to engage Speed Mode.', ""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",8
full manual control,['Autopilot Disengage Click this button to disengage the autopilot and return full manual control to the flight crew.'],1
the flight crew,['Autopilot Disengage Click this button to disengage the autopilot and return full manual control to the flight crew.'],1
buttonclick,['VS ButtonClick'],1
the auto-throttle,"['Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.', 'APP Button User in conjunction with the auto-throttle and NAV-1 radio to activate a localizer or ILS approach.', 'Used in conjunction with the auto-throttle, the autopilot will maintain the current airspeed while ascending, or descending to the selected altitude.']",3
the vertical speed display,"['Used in conjunction with the auto-throttle, the autopilot will govern the rate of ascent, or descent, according to the value indicated by the Vertical Speed Display.']",1
altitude hold mode,['ALT Hold Button Click this button to engage Altitude Hold Mode.'],1
the current altitude,['The autopilot will level-off and hold the current altitude.'],1
vor/loc,['VOR / LOC ButtonClick this button to engage VOR or Localizer Mode.'],1
vor,['VOR / LOC ButtonClick this button to engage VOR or Localizer Mode.'],1
localizer mode,['VOR / LOC ButtonClick this button to engage VOR or Localizer Mode.'],1
localizer,"['The autopilot will steer the aircraft laterally to intercept and track the VOR radial, or ILS localizer that is selected via the active Nav radio.']",1
the active nav radio,"['The autopilot will steer the aircraft laterally to intercept and track the VOR radial, or ILS localizer that is selected via the active Nav radio.']",1
app button user,['APP Button User in conjunction with the auto-throttle and NAV-1 radio to activate a localizer or ILS approach.'],1
nav-1 radio,['APP Button User in conjunction with the auto-throttle and NAV-1 radio to activate a localizer or ILS approach.'],1
a localizer,['APP Button User in conjunction with the auto-throttle and NAV-1 radio to activate a localizer or ILS approach.'],1
approach,['APP Button User in conjunction with the auto-throttle and NAV-1 radio to activate a localizer or ILS approach.'],1
hdg select button,['HDG Select Button Click this button to engage Heading Mode.'],1
heading mode,['HDG Select Button Click this button to engage Heading Mode.'],1
the heading display/ehsi heading bug,['The autopilot will steer according to the Heading Display / EHSI heading bug.'],1
lvl chg,['LVL CHG ButtonClick this button to engage Vertical Speed Mode.'],1
the current airspeed,"['Used in conjunction with the auto-throttle, the autopilot will maintain the current airspeed while ascending, or descending to the selected altitude.']",1
the select altitude,"['Used in conjunction with the auto-throttle, the autopilot will maintain the current airspeed while ascending, or descending to the selected altitude.']",1
speed button,['Speed Button Click this button to engage Speed Mode.'],1
speed mode,['Speed Button Click this button to engage Speed Mode.'],1
n1 button,['N1 Button (Not currently supported).'],1
the real aircraft,"[""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",1
the auto-throttles,"[""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",1
a pre-defined limit,"[""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",1
turbine ) limit,"[""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",1
the fmc.pilot'sflight director,"[""In the real aircraft, this button causes the auto-throttles to advance to a pre-defined limit N1 (turbine) limit expressed using the FMC.Pilot'sFlight Director SwitchUse this switch to toggle the 'Flight Director' display on, or off for the first-officer's EADI.The flight director computes and displays the proper pitch and bank anglesrequired for the aircraft to follow the desired flight plan.""]",1
